Claimant ZIP,Employer ZIP,Case,Filed,Status,Employer,Amount Demanded,Amount Resolved,Closed,Industry
60426,60426,14-A00630,2014-11-26,Dismissed,Walgreen's ,,,2015-09-07,"Food, Beverage & Tobacco"
62565,61957,14-A00632,2014-11-26,Dismissed,Ken-O-Kaw Farms,,,2015-12-17,Agriculture
60062,60646,14-A00633,2014-11-26,Dismissed,Imperial Realty Company,,,2015-01-22,Real Estate
60202,60202,14-A00634,2014-11-26,Fully Paid,Signature Foods Solution,66.29,66.29,2015-08-28,Restaurant
60613,60611,14-A00635,2014-11-26,Dismissed,Northwestern Memorial Hospital,,,2016-02-20,Health Care
60173,60193,14-A00636,2014-11-26,Fully Paid,Sushi Ya Restaurant,4503.64,,2015-12-15,Restaurant
62684,62702,14-A00638,2014-12-01,Dismissed,Aspen Dental,,,2015-10-24,Health Care
46406,60423,14-A00639,2014-12-01,Fully Paid,Advance Glass and Mirror Products,480.94,,2015-12-22,Service
62226,62274,14-A00640,2014-12-01,Dismissed,"Contempri Industries, Inc",,,2015-11-18,Construction/Landscaping
60411,60411,14-A00641,2014-12-01,Fully Paid,Shark's Fish and Chicken,108,,2016-08-02,Restaurant
60629,60007,14-A00642,2014-12-01,Dismissed,Stanico Truck Repair,,,2015-03-23,Automotive
60614,60657,14-A00643,2014-12-01,Dismissed,La Gondola,,,2015-08-11,Restaurant
60645,60062,14-A00644,2014-12-01,Dismissed,North Shore Building Maintenance,,,2015-09-07,Cleaning Services - Home & Office
60651,60131,14-A00645,2014-12-01,Dismissed,"Elite Laundry Services, Co",,,2015-03-10,Laundry Services
60628,60628,14-A00646,2014-12-01,Dismissed,"Neat Muffler and Brake, Inc",,,2015-03-04,Automotive
60628,60617,14-A00647,2014-12-01,Fully Paid,Union Auto Sales,3689.93,,2016-06-09,Automotive
61422,61455,14-A00648,2014-12-01,Fully Paid,Professional Eyecare Center,6466.67,,2015-03-30,Health Care
60554,60506,14-A00649,2014-12-01,Fully Paid,Valley Dental Care,,,2015-12-31,Health Care
6081787,60402,14-A00650,2014-12-01,Dismissed,Sebastiano's ,,,2015-12-03,Restaurant
60018,60666,14-A00651,2014-12-01,Dismissed,"Air Cargo Logistics, Inc",,,2015-10-24,Transportation
60614,60612,14-A00653,2014-12-02,Fully Paid,Comet Messenger Service,236,,2016-03-09,Service
60450,60450,14-A00654,2014-12-02,Dismissed,Honest Abe's Tap and Grill,,,2015-10-24,"Food, Beverage & Tobacco"
60123,60542,14-A00655,2014-12-02,Dismissed,Prestige Plumbing Heating and Cooling,,,2015-09-15,Service
60110,60532,14-A00656,2014-12-02,Dismissed,"Valid USA, Inc",,,2015-10-24,Financial Services
60432,60403,14-A00658,2014-12-02,Dismissed,Globus Logistics ,,,2015-01-20,Transportation
61883,61832,14-A00659,2014-12-02,Dismissed,Autozone Distribution Center,,,2016-02-06,Automotive
60647,60131,14-A00660,2014-12-02,Dismissed,Tukaiz Printing,,,2014-12-19,Advertising
60827,60411,14-A00661,2014-12-02,Dismissed,Aryzta LLC,,,2015-03-06,
60428,60411,14-A00662,2014-12-02,Dismissed,Aryzta LLC,,,2015-03-06,
60435,60435,14-A00663,2014-12-02,Dismissed,"HCR Manorcare of Naperville, IL",,,2015-02-18,
62301,62301,14-A00664,2014-12-02,Dismissed,Maid for a Day,,,2014-12-03,Cleaning Services - Home & Office
60950,60901,14-A00665,2014-12-02,Dismissed,Premier Transportation,,,,Transportation
60649,60640,14-A00667,2014-12-02,Fully Paid,Sarah's Circle Shelter,136.37,136.37,2015-06-26,Service
60433,60433,14-A00668,2014-12-02,Dismissed,The Convenient Food Mart,,,2015-12-19,"Food, Beverage & Tobacco"
60586,60411,14-A00669,2014-12-02,Dismissed,Southwest Disabilities,,,2015-11-06,Service
60443,60422,14-A00670,2014-12-02,Dismissed,Polaris,,,2015-11-18,Service
60462,60477,14-A00671,2014-12-03,Dismissed,Cambridge Management LTD,,,2015-10-29,Service
,60657,14-A00672,2014-12-03,Fully Paid,Live Here Chicago,7131.93,,2016-05-31,Real Estate
60651,60602,14-A00673,2014-12-03,Dismissed,Computer Systems Institute,,,2015-03-04,Technology
60621,60615,14-A00674,2014-12-03,Dismissed,DJ's Bike Doctor,,,2016-02-06,
61021,15220,14-A00676,2014-12-03,Dismissed,Wexford Health Sources,,,2015-02-02,Health Care
62707,62625,14-A00677,2014-12-03,Dismissed,Ron Furman Paving and Sweeping,,,2015-12-19,Service
62702,62703,14-A00678,2014-12-03,Dismissed,Red Lobster,,,2015-06-29,Restaurant
62254,62269,14-A00679,2014-12-03,Dismissed,Waterfalls Restaurant,,,2016-01-12,Restaurant
62221,62269,14-A00680,2014-12-03,Dismissed,Deans Foods,,,2016-02-06,"Food, Beverage & Tobacco"
60450,60450,14-A00681,2014-12-03,Dismissed,Flagstone Properties,,,2015-03-09,Real Estate
60628,60445,14-A00683,2014-12-04,Dismissed,Steiner Security Service,,,2015-01-09,Security Company
60432,60435,14-A00684,2014-12-04,Fully Paid,Subway Restaurant,,,2015-09-23,Fast Food
60649,60446,14-A00685,2014-12-04,Dismissed,Chime Services,,,,Transportation
60402,60638,14-A00686,2014-12-04,Dismissed,Hinckley Springs DBA DS Services of America,,,2015-10-24,Service
60636,60612,14-A00687,2014-12-04,Dismissed,City Escape Garden and Design,,,2016-01-13,Service
62868,62450,14-A00688,2014-10-02,Dismissed,Brokhof Herbert DDS,,,2015-11-06,Health Care
60415,60453,14-A00690,2014-12-05,Dismissed,"First Call Cab Company, LLC",,,2015-07-27,Transportation
37013,60612,14-A00691,2014-12-05,Dismissed,University of Illinois Hospital and Health System,,,2016-03-23,Health Care
62234,62234,14-A00692,2014-09-18,Dismissed,White Star,,,2015-12-29,Retail & Wholesale
61910,61938,14-A00693,2014-10-08,Fully Paid,La Casa Fiesta,900,,,Restaurant
62640,62640,14-A00694,2014-12-05,Dismissed,Midwest Property Pros,,,2015-08-18,Construction/Landscaping
60415,60649,14-A00695,2014-12-05,Fully Paid,"The Bowa Grp, Inc",4485,,2016-06-22,Construction/Landscaping
60074,60089,14-A00696,2014-12-05,Dismissed,Wyndham Garden Hotel,,,2015-11-06,Lodging/Hospitality
60133,60106,14-A00697,2014-12-05,Dismissed,PacTrans Air and Sea,,,2015-10-24,Service
60135,60123,14-A00698,2014-12-05,Dismissed,THH Acquisition LLC DBA Total Home Health,,,2015-11-10,Service
60110,60014,14-A00699,2014-12-05,Dismissed,"Mad Dash, Inc",,,2015-10-16,Technology
,60062,14-A00700,2014-12-05,Dismissed,"North Shore Companions, Inc",,,2015-12-03,Health Care
60513,60451,14-A00703,2014-12-05,Dismissed,Arlen-Jacobs Manufacturing Co,,,2015-03-04,Manufacturing
60586,60403,14-A00704,2014-12-05,Dismissed,Taste Chicago,,,2015-12-19,Restaurant
61571,61550,14-A00705,2014-12-05,Fully Paid,Superior Pool Products,500,,2015-09-22,Service
61801,61802,14-A00706,2014-12-05,Fully Paid,Silver Bullet,1100,,2016-03-23,Entertainment & Leisure
61616,61615,14-A00707,2014-12-05,Dismissed,Signature Control Systems,,,2015-06-26,Securities & Commodity Exchanges
61032,61032,14-A00708,2014-12-05,Dismissed,Danfoss Inc.,,,2016-08-29,Manufacturing
60632,60455,14-A00709,2014-12-05,Dismissed,Taqueria Los Magueyes,,,2015-12-03,Restaurant
60188,60108,14-A00710,2014-12-05,Fully Paid,Glendale Heights Healthcare Center,,,2016-05-09,Health Care
62692,61920,14-A00711,2014-10-07,Dismissed,"Fuhrman Engineering, Inc.",,,2016-02-04,Construction/Landscaping
62221,62234,14-A00712,2014-10-16,Dismissed,Unity Hospice,,,2015-10-02,Health Care
60513,60123,14-A00713,2014-12-05,Dismissed,Lifeline Plumbing and HVAC,,,2015-11-10,Service
60514,60273,14-A00714,2014-12-05,Dismissed,Brammeier Computer Services,,,2015-09-07,Technology
60169,60632,14-A00715,2014-12-05,Fully Paid,Altom Transport Inc,1851.33,,2015-07-21,Transportation
60612,60603,14-A00716,2014-12-05,Fully Paid,Christensen Ehret LLP,,,2016-03-08,Legal
62615,62629,14-A00717,2014-12-05,Dismissed,Juhl Tower Services,,,2015-10-02,Telecommunications
63114,32226,14-A00718,2014-12-05,Dismissed,Davis Mail Svc,,,2015-10-16,Transportation
62269,62226,14-A00719,2014-12-05,Dismissed,Kurowski Shultz,,,2015-04-28,Legal
52732,61270,14-A00720,2014-12-05,Dismissed,Pleasant View Rehab and Health Care Center,,,2016-04-29,Health Care
73162,61265,14-A00721,2014-12-05,Dismissed,Deere and Co,,,2016-08-11,Manufacturing
46220,60016,14-A00722,2014-12-05,Dismissed,Pearl Beauty,,,2015-10-24,Service
60445,60612,14-A00723,2014-12-08,Dismissed,"Better Methods Supply, Inc",,,2015-06-11,Service
60618,60657,14-A00724,2014-12-08,Dismissed,Country Club Bar,0,,2015-09-07,Restaurant
60555,60505,14-A00725,2014-12-08,Dismissed,"JPC Tree Care, LLC",,,2015-12-03,Construction/Landscaping
60455,07004,14-A00726,2014-12-08,Dismissed,"IC-Tag Solutions, Inc",,,2015-09-30,Technology
60901,60958,14-A00727,2014-12-08,Dismissed,"Lion Construction, LLC",,,2015-12-02,Construction/Landscaping
60560,61705,14-A00728,2014-12-08,Dismissed,"Nu-Way Transportation Svc, Inc",,,2015-02-02,Transportation
62812,63005,14-A00729,2014-12-09,Dismissed,"LRL Commercial Cleaning, Inc",,,2015-10-24,Cleaning Services - Home & Office
62063,62207,14-A00730,2014-12-09,Dismissed,JTC Academy,,,2015-03-09,Education
61834,55403,14-A00731,2014-12-09,Fully Paid,DKC Properties/Lake Forest Apt,7470,,2015-07-31,Real Estate
61821,61821,14-A00732,2014-12-09,Dismissed,La Bamba,,,2015-02-03,Restaurant
60620,60643,14-A00733,2014-12-09,Dismissed,Irie-Island Jerk Restaurant,,,2016-01-15,Restaurant
60563,60173,14-A00734,2014-12-09,Dismissed,Pic Maintenance,,,2015-03-10,Cleaning Services - Home & Office
60031,60030,14-A00735,2014-12-09,Dismissed,College of Lake County,,,2015-01-26,Education
60056,60007,14-A00736,2014-12-09,Dismissed,Moran Transportation,,,2015-03-09,Transportation
60051,60098,14-A00737,2014-12-09,Fully Paid,Buffalo Grove Animal Hospital,22,,2015-11-05,Health Care
60504,60440,14-A00738,2014-12-09,Fully Paid,Lemont ATS Co,1197.08,,2016-04-11,Lodging/Hospitality
62918,62901,14-A00739,2014-12-09,Dismissed,Liberty Village of Carbondale,,,2015-02-02,Health Care
60123,60641,14-A00740,2014-12-09,Dismissed,Cedar Lincoln LLC,,,2017-03-23,Lodging/Hospitality
60645,60611,14-A00741,2014-12-09,Dismissed,Ivy Hotel,,,2015-10-16,Lodging/Hospitality
60415,60453,14-A00742,2014-12-17,Dismissed,Jerry's Lawn and Tree Care Inc,,,2016-01-24,Construction/Landscaping
60624,60622,14-A00744,2014-12-10,Dismissed,"EPIC (Employment Partners, Inc)",,,2015-05-08,Day and Temporary Labor/Staffing
60106,60106,14-A00745,2014-12-10,Dismissed,"Innovative Transport Solutions, LLC",,,2015-11-09,Transportation
60608,60646,14-A00747,2014-12-18,Dismissed,Scrub Inc,,,,Cleaning Services - Home & Office
60615,60655,14-A00748,2014-12-10,Dismissed,Law Dog Security and Investigations,,,,Security Company
60126,60191,14-A00750,2014-12-10,Dismissed,Martin Cartage and Express,,,2015-10-24,Transportation
60103,60126,14-A00751,2014-12-10,Dismissed,Translink,,,2015-12-19,Transportation
60463,60406,14-A00758,2014-12-10,Fully Paid,Blue Island Police Dept,960.62,,2016-02-11,Call Centers
61728,61728,14-A00759,2014-12-10,Dismissed,Asta Care of Colfax,19589.97,,2016-04-04,Health Care
62547,62613,14-A00760,2014-12-10,Dismissed,Digiovanna Trucking,,,2015-10-24,Transportation
60090,02118,14-A00762,2014-12-10,Dismissed,Unidine Corp,,,2015-03-05,"Food, Beverage & Tobacco"
61462,61462,14-A00763,2014-12-10,Fully Paid,"KC's Pub & Grill, Inc./Petey's Pub",48.96,,,Restaurant
60431,60544,14-A00764,2014-12-10,Dismissed,Shrimp Bar and Grill,,,2015-12-02,Restaurant
60620,60077,14-A00765,2014-12-10,Dismissed,"AA Wells Construction Co, Inc",,,2015-03-09,Construction/Landscaping
60441,60403,14-A00766,2014-12-10,Dismissed,Aunt Nina's Sweets N Treats,,,2015-09-07,Fast Food
,60511,14-A00767,2014-12-10,Dismissed,"Executive Affiliates, Inc",,,2016-03-16,Real Estate
,60177,14-A00768,2014-12-10,Dismissed,"Manchester Nursery, Inc",,,2015-12-02,Construction/Landscaping
60659,60062,14-A00769,2014-12-10,Dismissed,Service Envelope,,,2015-03-23,Service
62702,60435,14-A00770,2014-12-11,Dismissed,"VCP Home Healthcare, Inc",,,,Health Care
60625,60647,14-A00771,2014-12-11,Dismissed,Concepcion for US Congress,,,2015-08-11,Consulting
60152,60152,14-A00773,2014-12-19,Dismissed,McDonald's ,,,2014-12-19,Restaurant
60103,60188,14-A00776,2014-12-19,Dismissed,Rogers Corporation,,,,
61842,61801,14-A00778,2014-12-19,Dismissed,Carle Foundation Hospital,,,2014-12-19,
60621,60643,14-A00780,2014-12-23,Dismissed,Moore Security Inc. ,,,2016-01-23,
60106,60106,14-A00781,2014-12-23,Dismissed,Geantos Trucking,,,2016-02-06,
60411,60466,14-A00782,2014-12-23,Dismissed,Aunt Martha's Youth Services,,,2015-04-08,
60644,60611,14-A00784,2014-12-30,Dismissed,India Garden,,,2015-04-09,Restaurant
62450,62450,14-A00785,2014-12-30,Dismissed,Burger King,,,2015-01-20,Fast Food
60440,60191,14-A00786,2014-12-30,Dismissed,Granitex Natural Stone,,,2015-05-07,Service
60634,60706,14-A00787,2014-12-30,Fully Paid,Furniture City,750.01,,2015-09-22,Consumer Products
61072,22182,14-A00788,2014-12-30,Fully Paid,"Ratner Companies, L. C. / dba: Hair Cuttery",1.68,,2016-11-03,Service
60614,60657,14-A00790,2014-12-30,Dismissed,Siren Salon,,,2015-06-29,Service
60515,60517,14-A00791,2014-12-30,Dismissed,"Ice Control, Inc",,,2015-11-06,Service
60136,60173,14-A00792,2014-12-31,Dismissed,Schaumburg Marriott (The Procaccianti Grp),,,2015-04-30,Lodging/Hospitality
60014,60010,14-A00793,2014-12-31,Dismissed,Daniel Webber/Erika L Hoggren,,,2015-01-26,Service
61705,75024,14-A00794,2014-12-31,Dismissed,NTT Data Inc,,,2015-03-11,Technology
60156,60441,14-A00795,2014-12-31,Dismissed,"JNC Construction, Inc",,,2015-12-02,Construction/Landscaping
60148,60018,14-A00820,2014-02-28,Dismissed,Hofbrauhaus Chicago,,,,
60609,60616,14-A00852,2014-04-04,Dismissed,Digby's Detective and Security Agency Inc,,,,
,60617,14-A00854,2014-05-13,Dismissed,Stinson Dental,1400,,2016-06-03,Health Care
,60609,14-A00968,2015-01-20,Dismissed,For Your Consciousness,,,2015-06-26,Non-Profit
60130,55420,14-A00969,2015-02-13,Dismissed,We Clean Carpet,,,2015-07-29,Cleaning Services - Home & Office
,,15-A00001,2015-01-09,Dismissed,The Galesburg Registered Owner,,,2015-03-09,Newspaper Publishers
,,15-A00002,2015-01-12,Dismissed,Accelerated Center,,,,
60607,60642,15-A00003,2015-01-20,Dismissed,Seadog Sushi Corp,,,2016-03-29,Restaurant
61920,28083,15-A00004,2015-01-20,Dismissed,MHP Innovations,,,2015-03-09,Real Estate
61038,61038,15-A00005,2015-01-22,Dismissed,The Hamlet Cafe,,,2015-03-16,Restaurant
61038,61038,15-A00006,2015-01-22,Dismissed,"The Hamlet Cafe, LLC",400,,2016-03-23,Restaurant
60616,60477,15-A00007,2015-01-22,Dismissed,"Dragon Palace, Inc",,,2016-06-13,Restaurant
62220,62650,15-A00008,2015-01-22,Dismissed,Dollars Today,,,2015-03-23,Financial Services
60644,60611,15-A00010,2015-01-22,Dismissed,"Media Planning Group USA, LLC/ dba: Havas Media",,,2016-09-14,Advertising
60074,60074,15-A00011,2015-01-22,Fully Paid,Supermercado Guzman,8231.25,,2016-04-19,Grocery
60628,60487,15-A00012,2015-01-26,Dismissed,ITS Technology & Logistics LLC,,,2015-04-16,
60445,60803,15-A00013,2015-01-26,Dismissed,MV Transportation,,,2015-08-04,
60169,60654,15-A00014,2015-01-26,Dismissed,India House,,,2015-08-04,
60506,60606,15-A00015,2015-01-26,Dismissed,PLS Check Cashers,,,2015-04-27,
60409,60409,15-A00016,2015-01-26,Dismissed,Chicago Hot Dogs,,,2015-08-04,
60938,60938,15-A00017,2015-01-26,Dismissed,Gilman Healthcare Center,,,2015-05-01,
62573,62526,15-A00018,2015-01-26,Dismissed,Kroger Company Ltd,,,2015-02-18,
62896,62846,15-A00019,2015-01-26,Dismissed,Dynamite Road Side Service,,,2015-02-18,
60640,60666,15-A00020,2015-01-26,Dismissed,United Maintenance,,,2015-05-20,
60554,60173,15-A00021,2015-01-26,Dismissed,Cancer Treatment Centers of America,,,2016-03-29,
62901,62901,15-A00022,2015-01-26,Dismissed,SIH Medical Group,,,2015-03-06,
60618,60632,15-A00023,2015-01-26,Dismissed,Kodiak Container LLC,,,2015-05-04,
60302,60188,15-A00024,2015-01-26,Dismissed,American Litho,,,2015-05-01,
60014,60140,15-A00025,2015-01-26,Dismissed,Ann's Pet Service,,,2015-02-18,
60673,60608,15-A00026,2015-01-27,Dismissed,Pilsen Little Village Mental Health Care Center,0,,2015-10-24,Health Care
,,15-A00027,2015-01-28,Dismissed,Colors Painting ,,,,
,,15-A00028,2015-01-28,Dismissed,D.J.T. ,,,,
60181,,15-A00029,2015-01-28,Dismissed,Ogden Lincoln,,,,
,,15-A00030,2015-01-28,Dismissed,Regency Rehabilitation Center,,,,
,,15-A00032,2015-01-28,Dismissed,"Solis Law Firm, PC",,,,
,,15-A00034,2015-01-28,Dismissed,Pay Day Loan,,,,
,,15-A00035,2015-01-28,Dismissed,Lakeview Sales,,,,
,,15-A00036,2015-01-28,Dismissed,Comcast ,,,,
60644,,15-A00037,2015-01-28,Dismissed,Envoy DBA American Eagle ,,,,
,,15-A00038,2015-01-28,Dismissed,Pace Bus Co,,,,
,,15-A00039,2015-01-28,Dismissed,My Personal Tax & Livery,,,,
,60617,15-A00040,2015-01-29,Fully Paid,"Brenda's Kids Club Day Care Center, Inc.",443.03,,2016-09-14,Service
,60617,15-A00041,2015-01-29,Fully Paid,Mari's Bumble Bee Academy,4180.72,,2016-11-01,Service
61607,61542,15-A00042,2015-01-29,Fully Paid,Fulton Co Camping and Recreation,75,,2015-11-05,Entertainment & Leisure
60647,60076,15-A00043,2015-01-29,Dismissed,Golan's Moving & Storage,,,2015-12-19,Service
62526,62535,15-A00045,2015-01-29,Dismissed,Yeti Wireless,,,2015-03-10,Technology
60402,60638,15-A00046,2015-01-29,Dismissed,Pactiv,,,,Manufacturing
60803,60586,15-A00048,2015-01-29,Dismissed,Hardee's ,,,2016-06-13,Restaurant
61085,61028,15-A00049,2015-01-29,Fully Paid,"Exquisite-Scapes, Inc.",5573.44,,2016-11-22,Construction/Landscaping
60185,60555,15-A00050,2015-01-29,Dismissed,Allways Painting and Cutting Edge,,,2015-10-16,Soap & Detergent
,,15-A00051,2015-02-06,Dismissed,,,,,
,,15-A00052,2015-02-06,Dismissed,Private Caregiver ,,,,
,,15-A00053,2015-02-09,Dismissed,Cook County Sheriff's Department ,,,,
60640,60656,15-A00054,2015-02-19,Dismissed,BNY (Bank of New York Mellon),,,2015-04-07,
62856,62812,15-A00056,2015-02-19,Dismissed,Rend Lake Inner City Water,,,,
61107,61107,15-A00057,2015-02-19,Dismissed,"Independent Village/Rockford, IL ",,,2015-04-17,
53140,60090,15-A00058,2015-02-19,Dismissed,Segerdahl Graphics Inc. ,,,,
60202,60712,15-A00059,2015-02-19,Dismissed,The Grove of Northbrook Legacy Healthcare,,,2015-06-25,
60097,60102,15-A00060,2015-02-19,Dismissed,All Smiles Dental,,,2015-04-07,Health Care
60641,60654,15-A00061,2015-02-19,Dismissed,TCC Wireless DBA T-mobile,,,2016-03-08,Telecommunications
62918,62918,15-A00062,2015-02-19,Dismissed,Borowiaks IGA,,,2015-08-04,
61820,61820,15-A00063,2015-02-19,Dismissed,Hilton Garden Inn,,,2015-08-04,Lodging/Hospitality
60625,60657,15-A00064,2015-02-19,Dismissed,Clarke's on Belmont,,,2015-05-01,
60642,60614,15-A00065,2015-02-19,Dismissed,Mariano's Fresh Market,,,2015-02-19,Restaurant
60041,60073,15-A00066,2015-02-19,Dismissed,United States Postal Service,,,2015-03-10,Government
60707,60422,15-A00067,2015-02-19,Dismissed,Josephine Leduk,,,2015-02-19,Health Care
61607,61615,15-A00068,2015-02-19,Dismissed,Casey's General Store,,,2015-02-19,
,60005,15-A00069,2015-02-20,Dismissed,Daily Herald ,,,2015-03-23,Newspaper Publishers
62526,50313,15-A00070,2015-02-20,Dismissed,Jacobson Companies,,,2015-03-10,Manufacturing
62269,62269,15-A00071,2015-02-20,Dismissed,Mainstay Suites,,,2016-06-06,Lodging/Hospitality
60146-0406,60098,15-A00072,2015-02-20,Dismissed,"Leisure Woods, Inc.",,,2016-07-07,Construction/Landscaping
60021,60021,15-A00073,2015-02-20,Dismissed,Turtle Express Fox River Grove,,,2015-09-15,Education
60625,60101,15-A00074,2015-02-23,Dismissed,Gen Lab,,,2016-02-29,Health Care
61603,60637,15-A00075,2015-02-23,Dismissed,David Boyden dba Boyden Industry,,,2015-06-29,Service
,62918,15-A00076,2015-02-24,Dismissed,Borowiaks IGA ,,,2015-03-23,Grocery
60045,60625,15-A00077,2015-02-24,Dismissed,Al Khyam Bakery and Grocery aka Mounsef Int'l Inc.,4801.8,,2015-10-20,"Food, Beverage & Tobacco"
52241,60619,15-A00078,2015-02-24,Fully Paid,A Finkl and Sons,1144.89,,2016-06-10,Service
60085,60015,15-A00079,2015-02-24,Dismissed,San Gabriel Mexican Cafe,,,2015-03-17,Restaurant
60629,60464,15-A00080,2015-02-24,Dismissed,El Gallo Inc,,,2016-03-17,Restaurant
60106,60106,15-A00081,2015-02-24,Dismissed,Geantos Trucking,,,2015-03-23,Transportation
60641,60101,15-A00082,2015-02-24,Dismissed,NASM Hardwood Flooring,,,2015-04-30,Construction/Landscaping
60639,60193,15-A00083,2015-02-24,Dismissed,Intec Communications,,,2015-08-10,Technology
,62521,15-A00084,2015-02-24,Fully Paid,Sleep Inn,96.85,,2016-05-12,Lodging/Hospitality
60617,60462,15-A00085,2015-02-24,Dismissed,Allied Barton Security SVC,,,,Security Company
60410,60450,15-A00086,2015-02-24,Dismissed,"Park Pointe Healtcare and Rehab Cntr, LLC",,,2016-04-04,Health Care
60156,60193,15-A00087,2015-02-24,Fully Paid,Medical Center,155.1,,2016-03-09,Health Care
,,15-A00088,2015-02-25,Dismissed,Monkey's Arcade,,,,
,,15-A00089,2015-02-25,Dismissed,DLS Landscaping ,,,,
60643,33027,15-A00090,2015-03-04,Fully Paid,Corestaff Services/S Com,10214.5,,2016-08-18,Service
60455,60443,15-A00092,2015-03-04,Dismissed,Universal Protection Service,,,2015-10-24,Security Company
62363,62340,15-A00093,2015-03-05,Dismissed,"Wheels Unlimited, Inc",,,2016-04-07,Automotive
62703,62703,15-A00094,2015-03-05,Dismissed,Brinks Construction,,,2016-03-29,Construction/Landscaping
60073,60606,15-A00095,2015-03-05,Dismissed,Modis,,,2015-10-16,Day and Temporary Labor/Staffing
60641,60641,15-A00096,2015-03-05,Dismissed,Morelia Super Market,0,,2015-08-11,Grocery
60565,60565,15-A00097,2015-03-05,Dismissed,Center for Dentistry,,,2016-04-06,Health Care
60456,60804,15-A00098,2015-03-05,Dismissed,Salon Impresiones,,,2015-04-07,Service
60653,60612,15-A00099,2015-03-05,Dismissed,MBA Security,,,2015-04-29,Security Company
60601,60633,15-A00101,2015-03-05,Dismissed,Compassinate Professional Home Care,,,2016-03-29,Health Care
60649,,15-A00102,2015-03-06,Dismissed,LS TRAVEL RETAIL NORTH AMERICA,,,2015-05-21,
60626,60603,15-A00103,2015-03-06,Dismissed,MILLER'S PUB,,,2015-04-07,
62907,62233,15-A00104,2015-03-06,Dismissed,THE MANOR AT CRAIG FARMS,,,2015-05-01,
60050,60014,15-A00105,2015-03-06,Dismissed,SUNRISE SENIOR LIVING,,,2015-08-04,
60429,60438,15-A00106,2015-03-06,Dismissed,DOMINO'S PIZZA,,,2015-08-04,
61704,61701,15-A00107,2015-03-06,Dismissed,KINGS TABLE CATERING,,,2015-04-08,
60067,60004,15-A00108,2015-03-06,Dismissed,PEP BOYS,,,2015-05-04,
60089,60004,15-A00109,2015-03-10,Fully Paid,Barnes Automotive,266.31,266.31,2015-08-26,Automotive
60516,60517,15-A00110,2015-03-10,Dismissed,Edward Health and Fitness,,,2016-05-11,Health Care
60565,60020,15-A00111,2015-03-10,Fully Paid,Scorpio Excavating/Ram Excavating/Foxx Corp.,4420.5,,2016-03-07,Transportation
,,15-A00112,2015-03-10,Dismissed,Red Robin construction site,,,2015-06-26,Construction/Landscaping
60612,60007,15-A00113,2015-03-10,Dismissed,"Triad Trucking, LLC",,,2015-03-23,Transportation
,60563,15-A00114,2015-03-10,Dismissed,"Vital Wellness Home Health, Inc",0,,2016-08-04,Health Care
60139,60115,15-A00115,2015-03-10,Fully Paid,"Pizza Villa, Inc.",50692.89,,2016-12-27,Fast Food
61832,61832,15-A00116,2015-03-11,Dismissed,Best Western Regency Inn,,,2015-04-29,Lodging/Hospitality
62056,62568,15-A00117,2015-03-11,Dismissed,A Green Cab,,,2016-09-28,Transportation
61856,61856,15-A00118,2015-03-11,Dismissed,Piatt County Nursing Home,,,2015-09-10,Health Care
60516,60008,15-A00119,2015-03-11,Dismissed,Fleetmatics,,,2015-04-07,Service
48889,60103,15-A00120,2015-03-11,Dismissed,Rep Corporation,,,2015-05-22,Service
,60099,15-A00121,2015-03-11,Dismissed,The Grove at the Lake Living & Rehab Ctr,,,2015-07-15,Health Care
60076,60714,15-A00122,2015-03-11,Fully Paid,Liquor Barn of Niles,4436.13,,2016-07-01,"Food, Beverage & Tobacco"
60637,60602,15-A00123,2015-03-11,Dismissed,Macy's ,,,2015-04-30,Apparel & Accessories
60618,60076,15-A00124,2015-03-11,Dismissed,"Remco Technology, Inc",,,2015-10-24,Technology
62656,62656,15-A00125,2015-03-11,Dismissed,Odd Fellow Rebekah Housing Inc,,,2016-03-29,Service
60447,60403,15-A00126,2015-03-11,Fully Paid,"Mallard Point Apartments, LLC",23374.5,,2015-12-23,Service
60608,60623,15-A00127,2015-03-11,Dismissed,La Baguette Happy Cake,,,2015-03-27,Service
61614,61614,15-A00129,2015-03-13,Dismissed,Neurology Clinic of Peoria,,,2015-08-04,
60051,60020,15-A00131,2015-03-13,Dismissed,Paradise Park Assisted Living,,,2015-08-04,
,61008,15-A00132,2015-03-16,Dismissed,Maria's Pizza,,,2015-05-07,Restaurant
,61606,15-A00133,2015-03-16,Dismissed,Los Jimadores,,,2015-03-30,Restaurant
60409,60477,15-A00135,2015-03-18,Dismissed,Providence Life Services,,,2016-02-02,Health Care
62040,62040,15-A00136,2015-03-19,Fully Paid,JM Motors,10762.61,,2017-01-26,Automotive
60061,43218,15-A00137,2015-03-19,Dismissed,Abercrombie and Fitch,,,2015-04-29,Retail & Wholesale
60626,60614,15-A00138,2015-03-19,Fully Paid,LP Stadium Bar and Grill,4014.57,,2015-12-23,Restaurant
60609,60607,15-A00139,2015-03-19,Dismissed,Vintage Lounge,0,,2015-12-02,"Food, Beverage & Tobacco"
60707,60035,15-A00140,2015-03-19,Dismissed,Freedom Home Care ,,,2015-04-29,Health Care
60639,60192,15-A00141,2015-03-19,Dismissed,Ambria College of Nursing,,,2015-04-07,Education
60629,60634,15-A00142,2015-03-19,Dismissed,Ryszard Gorz Construction,,,2015-04-28,Construction/Landscaping
